cluster,names,logfoldchanges,pvals_adj
8,Glyma.11G250200.Wm82.a2.v1,2.7699301,1.0809676922112242e-134
8,Glyma.17G188500.Wm82.a2.v1,2.9115162,2.1660238382543868e-134
8,Glyma.16G149300.Wm82.a2.v1,2.661408,2.3616469002155515e-131
8,Glyma.08G170700.Wm82.a2.v1,3.0804727,1.1291979170382454e-121
8,Glyma.07G073500.Wm82.a2.v1,2.299445,6.651331571165906e-120
8,Glyma.15G207200.Wm82.a2.v1,2.5617464,2.2422534572003614e-111
9,Glyma.12G032900.Wm82.a2.v1,4.5668473,1.2832025736570453e-294
9,Glyma.19G011700.Wm82.a2.v1,3.8854442,1.4348443114920655e-213
9,Glyma.11G072000.Wm82.a2.v1,5.4037123,9.433785539395249e-157
9,Glyma.11G008000.Wm82.a2.v1,5.439987,2.99813836707881e-147
9,Glyma.01G234900.Wm82.a2.v1,5.7794337,1.0176808270078097e-129
9,Glyma.11G108000.Wm82.a2.v1,4.674899,1.4375596413242262e-125
9,Glyma.18G291000.Wm82.a2.v1,6.222986,1.0216664433164044e-121
9,Glyma.03G109900.Wm82.a2.v1,2.8382313,1.5028891854759947e-111
9,Glyma.16G106800.Wm82.a2.v1,5.8132195,2.7604973606357436e-103
9,Glyma.13G095600.Wm82.a2.v1,3.7028246,5.2876332919640345e-102
10,Glyma.20G192700.Wm82.a2.v1,6.848908,0.0
10,Glyma.02G159900.Wm82.a2.v1,6.249618,0.0
10,Glyma.08G159900.Wm82.a2.v1,5.737171,0.0
10,Glyma.19G006200.Wm82.a2.v1,6.275438,0.0
10,Glyma.18G030700.Wm82.a2.v1,5.619131,4.817466557530799e-266
10,Glyma.07G185300.Wm82.a2.v1,5.477455,7.288960730389075e-258
10,Glyma.16G155200.Wm82.a2.v1,4.6575184,3.60722359989147e-251
10,Glyma.01G152100.Wm82.a2.v1,4.9149632,1.6780916134465126e-246
10,Glyma.10G138300.Wm82.a2.v1,5.301184,2.645900115651367e-231
10,Glyma.12G233300.Wm82.a2.v1,3.5952919,5.436631380833021e-226
11,Glyma.10G183300.Wm82.a2.v1,7.53126,0.0
11,Glyma.17G245000.Wm82.a2.v1,5.0935683,0.0
11,Glyma.06G111900.Wm82.a2.v1,7.073792,0.0
11,Glyma.02G003700.Wm82.a2.v1,6.606404,0.0
11,Glyma.12G234200.Wm82.a2.v1,7.0771356,0.0
11,Glyma.14G134100.Wm82.a2.v1,5.5558887,0.0
11,Glyma.19G178200.Wm82.a2.v1,5.4410887,0.0
11,Glyma.19G016700.Wm82.a2.v1,6.8173857,0.0
11,Glyma.15G049800.Wm82.a2.v1,6.777754,0.0
11,Glyma.10G004800.Wm82.a2.v1,6.367811,5.749187670572345e-306
12,Glyma.08G120100.Wm82.a2.v1,5.880391,7.16298828952358e-285
12,Glyma.07G128700.Wm82.a2.v1,6.6999326,8.300278595854577e-268
12,Glyma.05G146400.Wm82.a2.v1,6.619903,6.140460006539348e-267
12,Glyma.11G224400.Wm82.a2.v1,6.708913,8.879797529971618e-263
12,Glyma.13G348500.Wm82.a2.v1,5.417845,5.2350165349597514e-257
12,Glyma.17G195900.Wm82.a2.v1,6.057256,1.0935013394418035e-254
12,Glyma.14G052400.Wm82.a2.v1,5.563888,1.2671954138295606e-251
12,Glyma.U016300.Wm82.a2.v1,6.8080163,1.3375724970454595e-249
12,Glyma.02G090100.Wm82.a2.v1,6.1425657,1.839476844350288e-245
12,Glyma.10G047800.Wm82.a2.v1,6.5648065,2.191176645337593e-245
13,Glyma.04G018400.Wm82.a2.v1,5.5068974,5.860869004351745e-250
13,Glyma.06G018700.Wm82.a2.v1,5.784126,7.119023699331549e-219
13,Glyma.15G186100.Wm82.a2.v1,5.3150773,1.0050722799130824e-205
13,Glyma.15G009500.Wm82.a2.v1,4.1319995,6.6281521714349325e-164
13,Glyma.08G103400.Wm82.a2.v1,4.8278985,2.8405069066685834e-159
13,Glyma.06G235500.Wm82.a2.v1,6.247045,6.2126466553947276e-152
13,Glyma.05G034500.Wm82.a2.v1,4.520642,6.759964425752775e-151
13,Glyma.15G072400.Wm82.a2.v1,4.479647,3.221052914787763e-147
13,Glyma.05G180100.Wm82.a2.v1,3.8802037,3.294051478853749e-147
13,Glyma.01G203400.Wm82.a2.v1,5.3922596,3.148591212670967e-130
14,Glyma.10G183300.Wm82.a2.v1,1.126837,0.0007714307972213818
14,Glyma.07G150900.Wm82.a2.v1,1.7862632,0.001351045427359573
14,Glyma.05G034500.Wm82.a2.v1,1.2937143,0.025842241412388854
14,Glyma.10G004800.Wm82.a2.v1,1.1926519,0.029370577642381747
14,Glyma.18G096400.Wm82.a2.v1,1.0690725,0.029994215356205466
14,Glyma.03G057100.Wm82.a2.v1,1.2845668,0.05315152135235989
14,Glyma.01G008200.Wm82.a2.v1,1.675728,0.23261256125805185
14,Glyma.17G238200.Wm82.a2.v1,1.0913575,0.27312090701802155
14,Glyma.09G040600.Wm82.a2.v1,1.2718683,0.32508283003405686
14,Glyma.15G073000.Wm82.a2.v1,1.1426728,0.34611157394328473
15,Glyma.11G096700.Wm82.a2.v1,4.928875,7.341995935163662e-55
15,Glyma.10G169600.Wm82.a2.v1,4.9832635,2.2139346652037864e-53
15,Glyma.06G292200.Wm82.a2.v1,4.162559,8.465804093011239e-42
15,Glyma.01G224800.Wm82.a2.v1,5.870469,6.05536059696021e-41
15,Glyma.12G222400.Wm82.a2.v1,4.072651,1.034687060112689e-36
15,Glyma.16G177900.Wm82.a2.v1,3.9273555,2.103469139695399e-36
15,Glyma.04G069500.Wm82.a2.v1,4.246052,2.2485353145307546e-35
15,Glyma.14G124300.Wm82.a2.v1,4.189122,3.969523782155931e-34
15,Glyma.03G236300.Wm82.a2.v1,4.065054,6.547350651383112e-33
15,Glyma.10G201100.Wm82.a2.v1,5.2319455,6.118078539930749e-32
16,Glyma.14G152100.Wm82.a2.v1,5.7185984,2.6852154833461576e-28
16,Glyma.01G081900.Wm82.a2.v1,8.913495,9.822261760038464e-28
16,Glyma.16G080500.Wm82.a2.v1,11.109517,4.669790257284109e-26
16,Glyma.10G209800.Wm82.a2.v1,5.94769,1.373376796172635e-25
16,Glyma.07G064100.Wm82.a2.v1,6.8159213,3.897270492170595e-25
16,Glyma.11G166300.Wm82.a2.v1,5.509017,8.206370178389532e-25
16,Glyma.20G007900.Wm82.a2.v1,8.550447,4.3236198500541255e-22
16,Glyma.13G284200.Wm82.a2.v1,5.2391157,1.0964031042178324e-20
16,Glyma.03G214800.Wm82.a2.v1,7.402548,5.690912275340767e-20
16,Glyma.12G047400.Wm82.a2.v1,10.436982,1.2049462830109436e-19
17,Glyma.17G057800.Wm82.a2.v1,8.467824,1.3464327399637549e-31
17,Glyma.04G040600.Wm82.a2.v1,12.56172,1.3464327399637549e-31
17,Glyma.19G228300.Wm82.a2.v1,8.415844,1.629744055351979e-30
17,Glyma.13G101700.Wm82.a2.v1,8.628205,1.629744055351979e-30
17,Glyma.02G162300.Wm82.a2.v1,7.3596454,1.769743112663962e-30
17,Glyma.09G079900.Wm82.a2.v1,6.8854637,4.3676004316579195e-30
17,Glyma.01G175200.Wm82.a2.v1,11.98378,1.0766121863981834e-29
17,Glyma.17G043200.Wm82.a2.v1,11.819452,1.5908867073176345e-28
17,Glyma.03G236600.Wm82.a2.v1,7.1227336,1.5908867073176345e-28
17,Glyma.06G041500.Wm82.a2.v1,10.032953,1.6515797613046614e-28
